0x80dc	0xe1dc	# (JIS=0) Private Use Area
0x80dd	0xe1dd	# (JIS=0) Private Use Area
0x80de	0xe1de	# (JIS=0) Private Use Area
0x80df	0xe1df	# (JIS=0) Private Use Area
0x80e0	0xe1e0	# (JIS=0) Private Use Area
0x80e1	0xe1e1	# (JIS=0) Private Use Area
0x80e2	0xe1e2	# (JIS=0) Private Use Area
0x80e3	0xe1e3	# (JIS=0) Private Use Area
0x80e4	0xe1e4	# (JIS=0) Private Use Area
0x80e5	0xe1e5	# (JIS=0) Private Use Area
0x80e6	0xe1e6	# (JIS=0) Private Use Area
0x80e7	0xe1e7	# (JIS=0) Private Use Area
0x80e8	0xe1e8	# (JIS=0) Private Use Area
0x80e9	0xe1e9	# (JIS=0) Private Use Area
0x80ea	0xe1ea	# (JIS=0) Private Use Area
0x80eb	0xe1eb	# (JIS=0) Private Use Area
0x80ec	0xe1ec	# (JIS=0) Private Use Area
0x80ed	0xe1ed	# (JIS=0) Private Use Area
0x80ee	0xe1ee	# (JIS=0) Private Use Area
0x80ef	0xe1ef	# (JIS=0) Private Use Area
0x80f0	0xe1f0	# (JIS=0) Private Use Area
0x80f1	0xe1f1	# (JIS=0) Private Use Area
0x80f2	0xe1f2	# (JIS=0) Private Use Area
0x80f3	0xe1f3	# (JIS=0) Private Use Area
0x80f4	0xe1f4	# (JIS=0) Private Use Area
0x80f5	0xe1f5	# (JIS=0) Private Use Area
0x80f6	0xe1f6	# (JIS=0) Private Use Area
0x80f7	0xe1f7	# (JIS=0) Private Use Area
0x80f8	0xe1f8	# (JIS=0) Private Use Area
0x80f9	0xe1f9	# (JIS=0) Private Use Area
0x80fa	0xe1fa	# (JIS=0) Private Use Area
0x80fb	0xe1fb	# (JIS=0) Private Use Area
0x80fc	0xe1fc	# (JIS=0) Private Use Area
0x80fd	0xe1fd	# (JIS=0) Private Use Area
0x8140	0x3000	# (JIS=8481) IDEOGRAPHIC SPACE
0x8141	0x3001	# (JIS=8482) IDEOGRAPHIC COMMA
0x8142	0x3002	# (JIS=8483) IDEOGRAPHIC FULL STOP
0x8143	0xff0c	# (JIS=8484) FULLWIDTH COMMA
0x8144	0xff0e	# (JIS=8485) FULLWIDTH FULL STOP
0x8145	0x30fb	# (JIS=8486) KATAKANA MIDDLE DOT
0x8146	0xff1a	# (JIS=8487) FULLWIDTH COLON
0x8147	0xff1b	# (JIS=8488) FULLWIDTH SEMICOLON
0x8148	0xff1f	# (JIS=8489) FULLWIDTH QUESTION MARK
0x8149	0xff01	# (JIS=8490) FULLWIDTH EXCLAMATION MARK
0x814a	0x309b	# (JIS=8491) KATAKANA-HIRAGANA VOICED SOUND MARK
0x814b	0x309c	# (JIS=8492) KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
0x814c	0x00b4	# (JIS=8493) ACUTE ACCENT
0x814d	0xff40	# (JIS=8494) FULLWIDTH GRAVE ACCENT
0x814e	0x00a8	# (JIS=8495) DIAERESIS
0x814f	0xff3e	# (JIS=8496) FULLWIDTH CIRCUMFLEX ACCENT
0x8150	0xffe3	# (JIS=8497) FULLWIDTH MACRON
0x8151	0xff3f	# (JIS=8498) FULLWIDTH LOW LINE
0x8152	0x30fd	# (JIS=8499) KATAKANA ITERATION MARK
0x8153	0x30fe	# (JIS=8500) KATAKANA VOICED ITERATION MARK
0x8154	0x309d	# (JIS=8501) HIRAGANA ITERATION MARK
0x8155	0x309e	# (JIS=8502) HIRAGANA VOICED ITERATION MARK
0x8156	0x3003	# (JIS=8503) DITTO MARK
0x8157	0x4edd	# (JIS=8504) CJK Unified Ideographs
0x8158	0x3005	# (JIS=8505) IDEOGRAPHIC ITERATION MARK
0x8159	0x3006	# (JIS=8506) IDEOGRAPHIC CLOSING MARK
0x815a	0x3007	# (JIS=8507) IDEOGRAPHIC NUMBER ZERO
0x815b	0x30fc	# (JIS=8508) KATAKANA-HIRAGANA PROLONGED SOUND MARK
0x815c	0x2015	# (JIS=8509) HORIZONTAL BAR
0x815d	0x2010	# (JIS=8510) HYPHEN
0x815e	0xff0f	# (JIS=8511) FULLWIDTH SOLIDUS
0x815f	0xff3c	# (JIS=8512) Unknown
0x8160	0x301c	# (JIS=8513) WAVE DASH
0x8161	0x2016	# (JIS=8514) DOUBLE VERTICAL LINE
0x8162	0xff5c	# (JIS=8515) FULLWIDTH VERTICAL LINE
0x8163	0x2026	# (JIS=8516) HORIZONTAL ELLIPSIS
0x8164	0x2025	# (JIS=8517) TWO DOT LEADER
0x8165	0x2018	# (JIS=8518) LEFT SINGLE QUOTATION MARK
0x8166	0x2019	# (JIS=8519) RIGHT SINGLE QUOTATION MARK
0x8167	0x201c	# (JIS=8520) LEFT DOUBLE QUOTATION MARK
0x8168	0x201d	# (JIS=8521) RIGHT DOUBLE QUOTATION MARK
0x8169	0xff08	# (JIS=8522) FULLWIDTH LEFT PARENTHESIS
0x816a	0xff09	# (JIS=8523) FULLWIDTH RIGHT PARENTHESIS
0x816b	0x3014	# (JIS=8524) LEFT TORTOISE SHELL BRACKET
0x816c	0x3015	# (JIS=8525) RIGHT TORTOISE SHELL BRACKET
0x816d	0xff3b	# (JIS=8526) FULLWIDTH LEFT SQUARE BRACKET
0x816e	0xff3d	# (JIS=8527) FULLWIDTH RIGHT SQUARE BRACKET
0x816f	0xff5b	# (JIS=8528) FULLWIDTH LEFT CURLY BRACKET
0x8170	0xff5d	# (JIS=8529) FULLWIDTH RIGHT CURLY BRACKET
0x8171	0x3008	# (JIS=8530) LEFT ANGLE BRACKET
0x8172	0x3009	# (JIS=8531) RIGHT ANGLE BRACKET
0x8173	0x300a	# (JIS=8532) LEFT DOUBLE ANGLE BRACKET
0x8174	0x300b	# (JIS=8533) RIGHT DOUBLE ANGLE BRACKET
0x8175	0x300c	# (JIS=8534) LEFT CORNER BRACKET
0x8176	0x300d	# (JIS=8535) RIGHT CORNER BRACKET
0x8177	0x300e	# (JIS=8536) LEFT WHITE CORNER BRACKET
0x8178	0x300f	# (JIS=8537) RIGHT WHITE CORNER BRACKET
0x8179	0x3010	# (JIS=8538) LEFT BLACK LENTICULAR BRACKET
0x817a	0x3011	# (JIS=8539) RIGHT BLACK LENTICULAR BRACKET
0x817b	0xff0b	# (JIS=8540) FULLWIDTH PLUS SIGN
0x817c	0x2212	# (JIS=8541) MINUS SIGN
0x817d	0x00b1	# (JIS=8542) PLUS-MINUS SIGN
0x817e	0x00d7	# (JIS=8543) MULTIPLICATION SIGN
0x8180	0x00f7	# (JIS=8544) DIVISION SIGN
0x8181	0xff1d	# (JIS=8545) FULLWIDTH EQUALS SIGN
0x8182	0x2260	# (JIS=8546) NOT EQUAL TO
0x8183	0xff1c	# (JIS=8547) FULLWIDTH LESS-THAN SIGN
0x8184	0xff1e	# (JIS=8548) FULLWIDTH GREATER-THAN SIGN
0x8185	0x2266	# (JIS=8549) LESS-THAN OVER EQUAL TO
0x8186	0x2267	# (JIS=8550) GREATER-THAN OVER EQUAL TO
0x8187	0x221e	# (JIS=8551) INFINITY
0x8188	0x2234	# (JIS=8552) THEREFORE
0x8189	0x2642	# (JIS=8553) MALE SIGN
0x818a	0x2640	# (JIS=8554) FEMALE SIGN
0x818b	0x00b0	# (JIS=8555) DEGREE SIGN
0x818c	0x2032	# (JIS=8556) PRIME
0x818d	0x2033	# (JIS=8557) DOUBLE PRIME
0x818e	0x2103	# (JIS=8558) DEGREE CELSIUS
0x818f	0xffe5	# (JIS=8559) FULLWIDTH YEN SIGN
0x8190	0xff04	# (JIS=8560) FULLWIDTH DOLLAR SIGN
0x8191	0x00a2	# (JIS=8561) CENT SIGN
0x8192	0x00a3	# (JIS=8562) POUND SIGN
0x8193	0xff05	# (JIS=8563) FULLWIDTH PERCENT SIGN
0x8194	0xff03	# (JIS=8564) FULLWIDTH NUMBER SIGN
0x8195	0xff06	# (JIS=8565) FULLWIDTH AMPERSAND
0x8196	0xff0a	# (JIS=8566) FULLWIDTH ASTERISK
0x8197	0xff20	# (JIS=8567) FULLWIDTH COMMERCIAL AT
0x8198	0x00a7	# (JIS=8568) SECTION SIGN
0x8199	0x2606	# (JIS=8569) WHITE STAR
0x819a	0x2605	# (JIS=8570) BLACK STAR
0x819b	0x25cb	# (JIS=8571) WHITE CIRCLE
0x819c	0x25cf	# (JIS=8572) BLACK CIRCLE
0x819d	0x25ce	# (JIS=8573) BULLSEYE
0x819e	0x25c7	# (JIS=8574) WHITE DIAMOND
0x819f	0x25c6	# (JIS=8737) BLACK DIAMOND
0x81a0	0x25a1	# (JIS=8738) WHITE SQUARE
0x81a1	0x25a0	# (JIS=8739) BLACK SQUARE
0x81a2	0x25b3	# (JIS=8740) WHITE UP-POINTING TRIANGLE
0x81a3	0x25b2	# (JIS=8741) BLACK UP-POINTING TRIANGLE
0x81a4	0x25bd	# (JIS=8742) WHITE DOWN-POINTING TRIANGLE
0x81a5	0x25bc	# (JIS=8743) BLACK DOWN-POINTING TRIANGLE
0x81a6	0x203b	# (JIS=8744) REFERENCE MARK
0x81a7	0x3012	# (JIS=8745) POSTAL MARK
0x81a8	0x2192	# (JIS=8746) RIGHTWARDS ARROW
0x81a9	0x2190	# (JIS=8747) LEFTWARDS ARROW
0x81aa	0x2191	# (JIS=8748) UPWARDS ARROW
0x81ab	0x2193	# (JIS=8749) DOWNWARDS ARROW
0x81ac	0x3013	# (JIS=8750) GETA MARK
0x81ad	0x003f	# (JIS=8751) QUESTION MARK
